TEST ID;consent;What language can you program in? (List the different languages separated by a comma);How do you rate your knowledge of relational databases (e.g., MySQL))?(1 = never heard of it, 5 = can use it in a professional environment);How do you rate your knowledge of NoSQL databases (e.g., MongoDB, Cassandra)?(1 = never heard of it, 5 = can use it in a professional environment);Which one in particular?;How do you rate your knowledge of other graph structures beside property graphs (e.g., RDF and SPARQL)?(1 = never heard of it, 5 = can use it in a professional environment);Are you knowledgable of any of the following graph query languages?;Q1;Q2;Q3;Q4;Q5;Schema;Q6;Q7;Q8;Q9;Q10;Q11;Q12;Q13;Q14;Q15
student-0;Accept;Python,java, C ,Dart;4;4;MongoDB, InfluxDB;3;OpenCypher;"MATCH (n)
UNWIND labels(n) AS label
WITH DISTINCT label
RETURN COLLECT(label) AS DistinctLabels, COUNT(label) AS TotalDistinctLabels

the number of the answers is 9 

Explanation : 
The query lists all distinct node labels in the Neo4j database and calculates the total number of these distinct labels, providing both a comprehensive label list and a count of label variety in one result set.";"MATCH ()-[r]->()
WITH DISTINCT type(r) AS RelationshipType
RETURN COLLECT(RelationshipType) AS RelationshipTypes, COUNT(RelationshipType) AS TotalDistinctRelationshipTypes


the number of the answers is 10

Explanation : The query retrieves and counts all unique relationship types in the Neo4j database, combining the list of distinct types and their total count in a single result.";"MATCH (n)
UNWIND labels(n) AS label
WITH DISTINCT label
MATCH (n)
WHERE label IN labels(n)
RETURN label, COLLECT(DISTINCT keys(n)) AS Properties


the count is : 9

Explanation : The query retrieves each unique node label and its associated property keys from the Neo4j database, ensuring that each label and its properties are listed distinctly.";MATCH ()-[r]->() WITH type(r) AS RelationshipType, r RETURN DISTINCT RelationshipType, keys(r) AS Properties // the number of the anwsers is 10 // explanation : The query retrieves each unique relationship type and its associated property keys from the Neo4j database, ensuring that each relationship type and its properties are listed distinctly.;"MATCH (n1)-[r]->(n2)
RETURN labels(n1)[0] AS NodeLabel1, labels(n2)[0] AS NodeLabel2, type(r) AS RelationshipType, COUNT(*) AS Count
count : 10
Explanation : The query identifies distinct pairs of node labels (NodeLabel1 and NodeLabel2), along with the type of relationship (RelationshipType), and includes a count of how many times each combination appears in the graph.

MATCH (n)
RETURN DISTINCT LABELS(n) AS NodeLabels, COUNT(n) AS Count

This query returns a list of unique node labels along with the count of nodes belonging to each label.

MATCH ()-[r]->()
RETURN DISTINCT TYPE(r) AS RelationshipType, COUNT(r) AS Count

This query identifies all unique relationship types in the dataset and counts how many times each type appears. It provides insights into the diversity of relationships in your graph.";https://drive.google.com/open?id=1nf9kEOWGQho2ELzruw-ADxzafSSGQ4W3;"MATCH (g:Gene)-[:IS_IN_FAMILY]->(f:Family)-[:IS_IN_PANGENOME]->(p:Pangenome)
RETURN p.name AS Pangenome, collect(g.name) AS Genes

it return 2 answers.";"MATCH (s:Spot)<-[:IS_IN_SPOT]-()<-[:IS_IN_RGP]-()-[:IS_IN_FAMILY]->()-[:IS_IN_PANGENOME]->(p:Pangenome)
RETURN p.name AS Pangenome, COLLECT(s.name) AS Spots

it return 2 answers as well.";MATCH (p:Pangenome)<-[:IS_IN_PANGENOME]-()-[s:IS_SIMILAR]->()-[:IS_IN_MODULE]->(m:Module) WHERE s.identity >= 0.8 RETURN p.name AS Pangenome, collect(DISTINCT m.name) AS Modules //it returns 2 answers;MATCH (p1:Pangenome)<-[:IS_IN_PANGENOME]-(f1:Family)-[r:IS_SIMILAR]->(f2:Family)-[:IS_IN_PANGENOME]->(p2:Pangenome) WHERE p1 <> p2 AND r.identity >= 0.8  WITH p1 AS Pangenome1, p2 AS Pangenome2,       f1 AS Family1, f2 AS Family2,       r.identity AS Similarity,      COLLECT(DISTINCT f1.annotation) AS Annotations1,       COLLECT(DISTINCT f2.annotation) AS Annotations2  WHERE SIZE(Annotations1) > 0 AND SIZE(Annotations2) > 0  RETURN Pangenome1.name AS Pangenome1, Annotations1,         Pangenome2.name AS Pangenome2, Annotations2,         Similarity // it returns 7 results;MATCH (p:Pangenome)<-[:IS_IN_PANGENOME]-(f:Family)-[:NEIGHBOR]->(n) RETURN p.name AS Pangenome, COLLECT(DISTINCT n.annotation) AS Neighborhood // it return 2 answers as well;;;;;
student-1;Accept;c++, java, python, prolog/datalog, js;3;1;InfluxDB, Other;1;;"Match (n) Return Distinct labels(n)

answer : 9 records";"Match ()-[u]-() Return Distinct type(u)

answer : 10 records";"Match (n)
Unwind keys(n) as k
Return Distinct labels(n), collect(Distinct k)

answer : 9 records";Match ()-[r]-() Unwind keys(r) as k Return Distinct type(r), collect(Distinct k)  // Answer : 9 records;"// compute every type of relation between nodes with count
Match p = ((a)-[r]->(b))
Return distinct labels(a), type(r), labels(b), count(p)

// compute the average numbre of outgoing edge by node label
Match p = ((a)-[]->())
With a, count(p) as outgoing
return distinct labels(a), avg(outgoing)

//same with ingoing
Match p = ((a)<-[]-())
With a, count(p) as ingoing
return distinct labels(a), avg(ingoing)";https://drive.google.com/open?id=1d8JmaPa0BVJ7uSGKdoWj5n9OvDzGgSGW;"match (p:Pangenome)<--(:Family)<--(g:Gene) 
with p, collect(distinct g.name) as l
return distinct p.name, l

answer : 2 records with lists of size 1 and 5476";"match (p:Pangenome)<--(:Family)<--(:Gene)-->(:RGP)-->(s:Spot) 
with p, collect(distinct s.name) as l
return distinct p.name, l

answer : 2 records with lists of size 292 and 364";match (p:Pangenome)<--(f1:Family)-->(m:Module), (f1)-[i:IS_SIMILAR]-(f2:Family)-->(m) where i.coverage>= 0.8 with p, collect(distinct m.name) as l, count(distinct m) as c return p.name, c, l      // answer : 2 records, with lists of size 5 and 1;match (p1:Pangenome)<--(f1:Family)-[i:IS_SIMILAR]->(f2:Family)-->(p2:Pangenome) where i.identity >= 0.8 and f1.annotation is not null and f2.annotation is not null and not(p1 = p2) return f1.name, f2.name     // answer : 7 records;match (p:Pangenome)<--(f1:Family)-[:NEIGHBOR]->(f2:Family) where f1.annotation is not null with p, collect(distinct f2.name) as list return p.name, list     // answer : 2 records with lists of size 183 and 301;;;;;
student-2;Accept;Python;3;3;MongoDB;2;OpenCypher, SQL/PGQ;"MATCH (n)
RETURN DISTINCT labels(n) AS nodeLabels, count(DISTINCT labels(n)) AS labelCount

Answer is 9";"MATCH ()-[r]->()
WITH DISTINCT type(r) AS relationship_type
RETURN relationship_type, count(*) AS count

Answer 10";"MATCH (n)
UNWIND labels(n) AS label
WITH DISTINCT label
MATCH (n)
WHERE label IN labels(n)
RETURN label, COLLECT(DISTINCT keys(n)) AS Properties

the result is 9";MATCH ()-[r]->() WITH type(r) AS RelationshipType, r RETURN DISTINCT RelationshipType, keys(r) AS Properties       The answer is 10;"MATCH (n)
RETURN DISTINCT labels(n) AS node_labels, COUNT(*) AS count


MATCH ()-[r]->()
RETURN DISTINCT type(r) AS relationship_type, COUNT(*) AS count
";https://drive.google.com/open?id=1_CPb5_4yvyRmSKyNDo-UvpqeposBZEYy;"MATCH (g:Gene)-[:IS_IN_FAMILY]->(f:Family)-[:IS_IN_PANGENOME]->(p:Pangenome)
RETURN p.name AS Pangenome, collect(g.name) AS Genes, COUNT(g) AS GeneCount

2 records each record contains  651827         1044515";"MATCH (s:Spot)<-[:IS_IN_SPOT]-()<-[:IS_IN_RGP]-()-[:IS_IN_FAMILY]->()-[:IS_IN_PANGENOME]->(p:Pangenome)
RETURN p.name AS Pangenome, COLLECT(s.name) AS Spots,  COUNT(s) AS SpotCount
There is:  2 records each record contains 55264 	238655";MATCH (p:Pangenome)<-[:IS_IN_PANGENOME]-()-[s:IS_SIMILAR]->()-[:IS_IN_MODULE]->(m:Module) WHERE s.identity >= 0.8 RETURN p.name AS Pangenome, collect(DISTINCT m.name) AS Modules, COUNT (m) as ModuleCount            2 records each one 8 and 7;MATCH (p1:Pangenome)<-[:IS_IN_PANGENOME]-(f1:Family)-[r:IS_SIMILAR]->(f2:Family)-[:IS_IN_PANGENOME]->(p2:Pangenome) WHERE p1 <> p2 AND r.identity >= 0.8 RETURN p1.name AS Pangenome1, p2.name AS Pangenome2, COLLECT(DISTINCT f1.annotation), COLLECT(DISTINCT f2.annotation)            2 records;MATCH (p:Pangenome)<-[:IS_IN_PANGENOME]-(f:Family)-[:NEIGHBOR]->(n) RETURN p.name AS Pangenome, COLLECT(DISTINCT n.annotation) AS Neighborhood , COUNT(n) as Neicount          2 records each one is 32270       30147;;;;;
student-3;Accept;Python, JavaScript;3;1;Other;1;;"MATCH (n) return DISTINCT labels(n) 
9 answers";"MATCH (a)-[x]->(b) return DISTINCT type(x)
10 answers";"MATCH (n) return DISTINCT labels(n),keys(properties(n))
13 answers";10 answers: MATCH (a)-[x]->(b) return DISTINCT type(x),keys(properties(x));"MATCH (x) return COUNT(x) (result 1761278)
MATCH (x) where x.name = """" return COUNT(x) (result 1443691)
MATCH (a)-[x]->(b) return count(x) (result 3926638)
MATCH (a)-[x]->(b) return DISTINCT labels(a),type(x),labels(b) (10 Records)
MATCH (a)-[x]-(b) return DISTINCT labels(a),type(x),labels(b) (18 Records)";https://drive.google.com/open?id=1gym95kBjXQQ4B_WwhB5W5CAMVKUukRtx;"match (a:Gene)-[*2]->(b:Pangenome)
with b, collect(distinct a.name) as l
return DISTINCT b.name, l

(2 answers, containing 1 empty)";"match (s:Spot)<-[*2]-(g:Gene)-[*2]->(p:Pangenome)
with p, collect(distinct s.name) as l
return DISTINCT p.name, l
2 records";match (p:Pangenome)<--(f1:Family)-->(m:Module) match (m:Module)<--(f1:Family)-[fp]-(f2:Family) where fp.identity>=0.8 with p, collect(DISTINCT m.name) as l return p.name, l // (2 records);match (f1:Family)-->(p1:Pangenome) match (f2:Family)-->(p2:Pangenome) match (f1)-[fp]->(f2) where f1.annotation is not null and f2.annotation is not null and NOT(p1.name=p2.name) and fp.identity>=0.8 return f1.name, f2.name // 7 answers;match (p:Pangenome)<--(f1:Family)-[:NEIGHBOR]->(f2:Family) where f2.annotation is not null with p, collect(distinct f2.name) as l, count(distinct f2) as ct return p.name, ct, l // 2 records;;;;;
student-4;Accept;Python, java, scala, R;4;4;MongoDB, Other;3;OpenCypher;"MATCH (n)
RETURN DISTINCT labels(n) AS nodeLabels, count(DISTINCT labels(n)) AS labelCount
Answer is 9";"MATCH ()-[r]->()
WITH DISTINCT type(r) AS relationship_type
RETURN relationship_type, count(*) AS count

Answer 10";"MATCH (n)
UNWIND labels(n) AS label
WITH DISTINCT label
MATCH (n)
WHERE label IN labels(n)
RETURN label, COLLECT(DISTINCT keys(n)) AS Properties

the result is 9";MATCH ()-[r]->() WITH type(r) AS RelationshipType, r RETURN DISTINCT RelationshipType, keys(r) AS Properties       The answer is 10;-;https://drive.google.com/open?id=1QMC57M10RmKkj-Twzo3TmoLs6LUFywMt;"MATCH (g:Gene)-[:IS_IN_FAMILY]->(f:Family)-[:IS_IN_PANGENOME]->(p:Pangenome)
RETURN DISTINCT p.name AS Pang, collect(DISTINCT g.name) AS Genes, COUNT(DISTINCT g) AS GC
it returns two answers 651827
1044515";"MATCH (s:Spot)<-[:IS_IN_SPOT]-()<-[:IS_IN_RGP]-()-[:IS_IN_FAMILY]->()-[:IS_IN_PANGENOME]->(p:Pangenome)
RETURN DISTINCT p.name AS Pang, COLLECT(DISTINCT s.name) AS Spots, COUNT(DISTINCT s) AS Spot 
answer
292";MATCH (p:Pangenome)<-[:IS_IN_PANGENOME]-()-[s:IS_SIMILAR]->()-[:IS_IN_MODULE]->(m:Module) WHERE s.identity >= 0.8 RETURN p.name AS Pang, collect(DISTINCT m.name) AS Modules || It return two answers of two pangenomes with 7 modules each;MATCH (f1:Family)-[s1:IS_SIMILAR]-()-[:IS_IN_PANGENOME]->(p1:Pangenome),       (f2:Family)-[s2:IS_SIMILAR]-()-[:IS_IN_PANGENOME]->(p2:Pangenome) WHERE s1.identity >= 0.8 AND s2.identity >= 0.8   AND EXISTS(f1.annotation) AND EXISTS(f2.annotation) RETURN DISTINCT f1.name, f2.name 257 results;MATCH (p:Pangenome)<-[:IS_IN_PANGENOME]-(f:Family)-[:NEIGHBOR]->(n) RETURN p.name AS Pang, COLLECT(DISTINCT n.annotation) AS Neighborhood, COUNT(DISTINCT n.annotation) | | It returns two answers for the two pangenome first with 76 result and the second with 69 results;;;;;
student-5;Accept;C,Java,Python,Javascript;4;2;InfluxDB;5;OpenCypher, GraphQL, SQL/PGQ, SPARQL;"MATCH (node)
RETURN DISTINCT labels(node) AS nodeLabel;
9 results";"MATCH (n)-[r]->(m) RETURN  distinct type(r) as arcType;
10 results";"match(n) return distinct labels(n), keys(properties(n));
13 results";"MATCH (n)-[r]->(m) RETURN  distinct type(r) as arcType, keys(properties(r)) as Arcproperty;  10 results";"MATCH (n)-[r]-(m) RETURN distinct labels(n),  type(r) ,labels(m); 18 results
MATCH (n)-[r]-(m) RETURN  distinct type(r) as arcType; 10 results
MATCH (n) return  distinct keys(properties(n)); 10 results 
MATCH (n) return COUNT(n)l 1761278 results";https://drive.google.com/open?id=1AlIVKefedJGa70oldlmgXfKDctMYpk3k;"MATCH (g:Gene)-[*2]->(p:Pangenome)
WITH p, COLLECT(DISTINCT g.name) AS genes
RETURN p.name as pangerome_name, genes; // 2 results";"MATCH (g:Gene)-[*2]->(p:Pangenome), (g:Gene)-[*2]->(s:Spot)
with p, collect(DISTINCT s.name) as spot_names return p.name as pangerome_name, spot_names;  //2 results";match (p:Pangenome)<--(f1:Family)-->(m:Module) match (m:Module)<--(f1:Family)-[sim]-(f2:Family) where sim.identity>0.8 with p, collect(DISTINCT m.name) as modules return p.name as pangerome_name, modules // 0 results;match (f1:Family)-->(p1:Pangenome) match (f2:Family)-->(p2:Pangenome) match (f1)-[sim]->(f2) where f1.annotation is not null and f2.annotation is not null and p1.name <> p2.name and sim.identity>0.8 return f1.name , f2.name //0 results;match (f1:Family)<-[:NEIGHBOR]-(f:Family)-[:IS_IN_PANGENOME]->(p:Pangenome) WHERE  f1.annotation IS NOT  NULL return p.name as pangenome_name, collect(distinct f1.name) as neighbour_name, count(distinct f1) as neighbour_number  //2 results;;;;;
student-6;Accept;Python, C++, Java.;4;3;Other;3;OpenCypher, SQL/PGQ;"Q1: MATCH (s) RETURN DISTINCT labels(s) AS label
It returns 9 answers ( labels ).
Explanation :
MATCH (s) = finds all nodes in the database.
RETURN DISTINCT labels(s) = returns a distinct list of labels for each node. This give me all unique labels used in your database.";"Q2: MATCH ()-[a]-() RETURN DISTINCT type(a) AS Relationship
It returns 10 answers ( relationship types ).
Explanation :
MATCH ()-[r]-() = matches all relationships in the database.
RETURN DISTINCT type(r) = returns all unique types of relationships.";"Q3 : MATCH (s) UNWIND labels(s) AS label UNWIND keys(s) AS property
WITH label, COLLECT(DISTINCT property) AS PropertySet
RETURN label, PropertySet, SIZE(PropertySet) AS PropertyCount
It returns 9 answers ( labels ) with the number of properties of each label (Ex : ""Gene"" have 9 properties).
Explanation :
UNWIND labels(s) AS label expands the labels of each node.";Q4: MATCH ()-[a]->() WITH DISTINCT type(a) AS Relationship, keys(a) AS properties RETURN Relationship, properties AS PropertySet, SIZE(properties) AS PropertyCount It returns 10 answers ( relationship types ). Explanation: MATCH ()-[a]->() = matches all relationships in the database. WITH DISTINCT type(a) = AS RelationshipType, keys(r) AS properties gets the distinct relationship types and their properties. RETURN RelationshipType, properties, SIZE(properties) returns the relationship type, its properties, and the count of these properties.;"Find the Most Common Relationship Type:
MATCH ()-[r]->()
RETURN type(r) AS RelationshipType, count(r) AS Frequency ORDER BY Frequency DESC LIMIT 1
List All Properties for a Specific Node Label :
MATCH (n:Gene) WITH keys(n) AS properties
UNWIND properties AS property
RETURN DISTINCT property";https://drive.google.com/open?id=12mIk7TVDjiMKeS7kPRp_uzp7CvaaYcWY;"MATCH (p:Pangenome)<-[:IS_IN_PANGENOME]-()<-[:IS_IN_FAMILY]-(g:Gene)
RETURN p.name AS Pangenome, collect(g.name) AS Genes
Answers : 2, ""Enterobacter.cloacae"" and ""Acinetobacter.baumannii"".";"MATCH (p:Pangenome)<-[:IS_IN_PANGENOME]-()<-[:IS_IN_FAMILY]-()-[:IS_IN_RGP]->()-[:IS_IN_SPOT]->(s:Spot)
RETURN p.name AS Pangenome, collect(s.name) AS Spots
Answers : 2, like the first one.";MATCH (p:Pangenome)<-[:IS_IN_PANGENOME]-()-[s:IS_SIMILAR]->()-[:IS_IN_MODULE]->(m:Module) WHERE s.identity >= 0.8 RETURN p.name AS Pangenome, collect(DISTINCT m.name) AS Modules Answers : 2.;"MATCH (p1:Pangenome)<-[:IS_IN_PANGENOME]-(f1:Family)-[s:IS_SIMILAR]->(f2:Family)-[:IS_IN_PANGENOME]->(p2:Pangenome) WHERE s.identity >= 0.8 AND f1.annotation IS NOT NULL AND f2.annotation IS NOT NULL AND p1.name = p2.name RETURN f1.name AS Family1, f2.name AS Family2 Answers : 1, (""GCA_006228165.1_CDS_2138"", ""GCA_001057255.1_CDS_4340"").";MATCH (p:Pangenome)<-[:IS_IN_PANGENOME]-(f:Family)-[:NEIGHBOR]->(n) RETURN p.name AS Pangenome, COLLECT(DISTINCT n.annotation) AS Neighborhood. Answers : 2.;;;;;
student-7;Accept;python, c#, java, javascripts;3;2;MongoDB, Other;1;OpenCypher;"MATCH (n) RETURN DISTINCT labels(n) AS nodellabel;
9 records";"MATCH (a)-[r]->(b) RETURN DISTINCT type(r) AS allRelationshipType;
10 records";"MATCH (a) RETURN DISTINCT labels(a), keys(properties(a));
13 records";"MATCH (a)-[r]->(b) RETURN DISTINCT type(r), keys(properties(r)); => 10 records";"- Q1: Query to Retrieve Relationship Types:
MATCH ()-[r]->()
RETURN DISTINCT type(r) AS RelationshipType, COUNT(DISTINCT type(r)) AS NumRelationships; 
=> 10 records

- Q2: Query to Explore Node Properties:
MATCH (n)
UNWIND keys(n) AS PropertyKey
RETURN DISTINCT PropertyKey, COUNT(DISTINCT PropertyKey) AS NumProperties; 
=> 17 record

- Q3: Query to Identify Nodes with Specific Labels:
MATCH (n:Family)
RETURN n, COUNT(n) AS NodeCount; 
=> 37353 records";https://drive.google.com/open?id=13FnqcAAjCoYjRC1EI3cl0pz79f61p1R7;"MATCH (g:Gene)-->(f:Family)-->(p:Pangenome)
WITH p, COLLECT(DISTINCT g.name) AS assgenes
RETURN DISTINCT p.name, assgenes
=> 2 answers";"MATCH (s:Spot)<--(:RGP)<--(:Gene)-->(:Family)-->(p:Pangenome) WITH p, COLLECT(DISTINCT s.name) AS assSpot RETURN DISTINCT p.name, assSpot
=> 2 answers";MATCH (p:Pangenome)<--(f1:Family)--> (m:Module),  (f1)-[i:IS_SIMILAR]-(f2:Family),(f2)-->(m) WHERE i.coverage >=0.8 WITH p, collect(DISTINCT m.name) as d, COUNT(DISTINCT m) as e RETURN p.name, d, e => 2 answers;MATCH (p1:Pangenome)<-[:IS_IN_PANGENOME]-(f1:Family)-[s:IS_SIMILAR]->(f2:Family)-[:IS_IN_PANGENOME]->(p2:Pangenome) WHERE s.identity >= 0.8 AND f1.annotation IS NOT NULL AND f2.annotation IS NOT NULL RETURN f1.name AS Family1, f2.name AS Family2  => 8 answers;MATCH (p:Pangenome) <-- (f1:Family)-[n:NEIGHBOR]->(f2:Family) WHERE f1.annotation is not null WITH p, collect(DISTINCT f2.name) as l,  COUNT(DISTINCT f2.name) as a RETURN p.name, a, l  => 2 answers;;;;;
student-8;Accept;Python, Java;3;1;Redis;1;OpenCypher, SQL/PGQ;"MATCH (n) RETURN DISTINCT labels(n) AS allNodeLabels;
Answers it returns: 9 record";"MATCH ()-[r]->() RETURN DISTINCT type(r) AS allRelationshipType;
answers it returns: 10 record";"MATCH (n) RETURN DISTINCT labels(n), keys(properties(n));
answers it returns: 13 record";"MATCH ()-[r]->() RETURN DISTINCT type(r), keys(properties(r)); => 10 records";"Query 1: Query to List All Node Labels and their counts:
MATCH (n) 
RETURN labels(n) AS nodeLabels, COUNT(n) AS nodeCount ORDER BY nodeCount DESC;
=> 9 records
Query 2: Query to List All relationship and their counts
MATCH (a)-[r]->(b) 
RETURN DISTINCT type(r) AS relationshipType, COUNT(r) AS relationshipCount;
=> 10 records
Query 3: Record number
MATCH (n) RETURN COUNT(n)
=> 1761278
Query 4: 
MATCH (a)-[r]->(b) RETURN DISTINCT labels(a), type(r), labels(b);
=> 10 record";https://drive.google.com/open?id=1JjfBFN86peiQf0SH8gso69C7cZYdmSph;"Query: 
MATCH (g:Gene)-->(f:Family)-->(p:Pangenome)
WITH p, COLLECT(DISTINCT g.name) AS associatedGenes
RETURN DISTINCT p.name, associatedGenes

Answers: 2 records";"Query:
MATCH (p:Pangenome)<--(f:Family)<--(g:Gene)-->(r:RGP)-->(s:Spot)
WITH p, COLLECT(DISTINCT s.name) AS associatedSpots
RETURN DISTINCT p.name, associatedSpots

Answers: 2 records";MATCH (p:Pangenome)<--(f1:Family)--> (m:Module) MATCH (f1)-[i:IS_SIMILAR]-(f2:Family), (f2)-->(m) WHERE i.coverage >= 0.8 WITH p, COLLECT(DISTINCT m.name) as associatedModules, COUNT(DISTINCT m) as moduleCount RETURN p.name, associatedModules, moduleCount => Answers: 2 records;MATCH (p1:Pangenome)<-[:IS_IN_PANGENOME]-(f1:Family)-[i:IS_SIMILAR]->(f2:Family)-[:IS_IN_PANGENOME]->(p2:Pangenome) WHERE i.identity >= 0.8 AND f1.annotation IS NOT NULL AND f2.annotation IS NOT NULL RETURN f1.name AS Fam_1, f2.name AS Fam_2 => answers: 8 records;MATCH (p:Pangenome) <-- (f1:Family)-[n:NEIGHBOR]->(f2:Family) WHERE f1.annotation is not null WITH p, collect(DISTINCT f2.name) as list,  COUNT(DISTINCT f2.name) as a RETURN p.name, a, list => Answers: 2 records;;;;;
student-9;Accept;python, java;3;2;Other;3;SQL/PGQ, SPARQL;"NB: These responses represent my second attempt. I kindly request that you consider them as replacements for my initial responses.


The query: 
MATCH (n)
RETURN DISTINCT labels(n) AS DistinctLabels

Explication:  finds all unique combinations of labels assigned to nodes, returning each distinct set as a separate entry


To know how many answers it returns we can do this query:
MATCH (n)
WITH DISTINCT labels(n) AS DistinctLabels
RETURN COUNT(DistinctLabels) AS NumberOfDistinctLabelSets

Number of answers is 9";"Query: MATCH ()-[r]->()
RETURN DISTINCT type(r) AS DistinctRelationshipTypes

it retrieves every unique type of relationship present in the graph database by matching all relationships and returning their distinct types.

Number: 10";"MATCH (n)
RETURN DISTINCT labels(n) AS NodeLabel, keys(n) AS Properties


- it retrieve a list of all distinct node labels in the dataset, along with the properties associated with each node 

Number: 18";MATCH ()-[r]->() RETURN DISTINCT type(r) AS RelationshipType, keys(r) AS Properties    Explication: it identifies each unique type of relationship in the graph, along with the distinct set of properties associated with each relationship type. It matches all relationships, then groups and returns their types and properties.       Number: 10;"----Query 1: ----

MATCH (n)
RETURN DISTINCT labels(n) AS NodeLabel, COUNT(n) AS Count
-it returns a list of all distinct node labels along the count of nodes for each label. 
-Number: 9

----Query 2: ----

MATCH ()-[r]->()
RETURN DISTINCT type(r) AS RelationshipType, COUNT(r) AS Count
-it returns a list of all distinct relationship types and the count of relationships for each type.
-Number: 10

-----Query 3: -----


MATCH (n)
WHERE exists(n.property_name)
RETURN DISTINCT labels(n) AS NodeLabel, keys(n) AS Properties
-it returns the labels of nodes with the specified property and the properties themselves. 
-Number: 10


-----Query 4: -----
MATCH (n)-[r]->()
RETURN DISTINCT labels(n) AS NodeLabel, type(r) AS RelationshipType

-it returns a list of all distinct node labels with the relationship types associated . 
Number : 10


-----Query 5: -----
MATCH (n)
RETURN labels(n) AS Label, COUNT(n) AS NumberOfNodes
-it counts how many nodes there are for each label
Number: 9";https://drive.google.com/open?id=18jmJzyPd0kQO8aAM5vOSGwxwHR_0lYFq;"MATCH (p:Pangenome)
OPTIONAL MATCH (p)-[:IS_IN_PANGENOME]->(g:Gene)
WITH p, COLLECT(g) AS associatedGenes
RETURN p AS Pangenome, associatedGenes, SIZE(associatedGenes)

2 pangenome and 0 associations";"MATCH (p:Pangenome)
OPTIONAL MATCH (p)-[:IS_IN_PANGENOME]->(s:Spot)
RETURN p, COLLECT(s) AS associated_spots

2 pangenome and 0 associations";MATCH (p:Pangenome)<-[:IS_IN_PANGENOME]-()-[s:IS_SIMILAR]->()-[:IS_IN_MODULE]->(m:Module) WHERE s.identity >= 0.8 RETURN p.name AS Pang, collect(DISTINCT m.name) AS Modules      2 answers;MATCH (f1:Family)-[:IS_IN_PANGENOME]->(p1:Pangenome),        (f2:Family)-[:IS_IN_PANGENOME]->(p2:Pangenome) WHERE f1 <> f2 AND EXISTS(f1.annotation) AND EXISTS(f2.annotation) MATCH (f1)-[s:IS_SIMILAR]->(f2) WHERE s.identity >= 0.8 RETURN f1.name AS Family1, f2.name AS Family2           8 answers;MATCH (p:Pangenome)<-[:IS_IN_PANGENOME]-(f:Family)-[:IS_IN_MODULE]->(m:Module)<-[:IS_IN_MODULE]-(neighborFam:Family) WHERE EXISTS(f.annotation) RETURN p AS Pangenome, COLLECT(DISTINCT f) AS AnnotatedFamilies, COLLECT(DISTINCT neighborFam) AS NeighborFamilies     2 pangeome and for each pangenome;;;;;
