TEST ID;consent;What language can you program in? (List the different languages separated by a comma);How do you rate your knowledge of relational databases (e.g., MySQL))?(1 = never heard of it, 5 = can use it in a professional environment);How do you rate your knowledge of NoSQL databases (e.g., MongoDB, Cassandra)?(1 = never heard of it, 5 = can use it in a professional environment);Which one in particular?;How do you rate your knowledge of other graph structures beside property graphs (e.g., RDF and SPARQL)?(1 = never heard of it, 5 = can use it in a professional environment);Are you knowledgable of any of the following graph query languages?;Q1;Q2;Q3;Q4;Q5;Schema;Properties;Q6;Q7;Q8;Q9;Q10;Q11;Q12;Q13;Q14;Q15
student-0;Accept;Python,java, C ,Dart;4;4;MongoDB, InfluxDB;3;OpenCypher;Complication | Added Collect, Added Unwind, Added With;Complication| Added With, Added Collect;Complication | Added Collect, Added Unwind;Complication | Added With;0;0.974;0;Semantic Return | Missing Distinct;Complication | Added Collect in return shape;Semantic Pattern, Semantic Where, Semantic Return | Wrong Property, Wrong Information, Wrong Pattern;Semantic Pattern, Semantic Return | Additional node, Wrong information;Semantic Where | Missing Condition;;;;;
student-1;Accept;c++, java, python, prolog/datalog, js;3;1;InfluxDB, Other;1;;Correct;Correct;Complication | Added Collect, Added Unwind;Complication | Added Unwind;3;1;0.714;Complication | Added Collect in return shape;Complication | Added Collect in return shape;Semantic Pattern, Semantic Where | Additional Node, Wrong Edge Direction, Missing Condition;Correct;Semantic Where, Semantic Pattern | Missing Condition, Missing Information;;;;;
student-2;Accept;Python;3;3;MongoDB;2;OpenCypher, SQL/PGQ;Correct;Complication| Added With;Complication | Added Collect, Added Unwind;Complication | Added With;0;1;0;Semantic Return | Missing Distinct;Semantic Return | Missing Distinct;Semantic Pattern, Semantic Where, Semantic Return | Wrong Pattern, Wrong Property, Missing Distinct;Semantic Where, Semantic Return | Missing Condition, Wrong Information;Semantic Where | Missing Condition;;;;;
student-3;Accept;Python, JavaScript;3;1;Other;1;;Correct;Correct;Correct;Correct;0;0.733;0;Complication | Added Collect in return shape;Complication | Added Collect in return shape;Semantic Pattern, Semantic Where, Semantic Return | Wrong Property, Wrong Edge Direction, Wrong Information;Correct;Semantic Where | Missing Condition;;;;;
student-4;Accept;Python, java, scala, R;4;4;MongoDB, Other;3;OpenCypher;Correct;Complication| Added With;Complication | Added Collect, Added Unwind;Complication | Added With;0;0.476;0;Semantic Return | Missing Distinct;Complication | Added Collect in return shape;Semantic Pattern, Semantic Where, Semantic Return | Wrong Pattern, Wrong Property, Wrong Information;Semantic Where | Missing Condition;Semantic Where | Missing Condition;;;;;
student-5;Accept;C,Java,Python,Javascript;4;2;InfluxDB;5;OpenCypher, GraphQL, SQL/PGQ, SPARQL;Correct;Correct;Correct;Correct;0;0.972;0;Complication | Added Collect in return shape;Complication | Added Collect in return shape;Semantic Pattern, Semantic Where, Semantic Return | Wrong Pattern, Wrong Property, Wrong Information;Semantic Where | Wrong Operator (> instead of >=);Semantic Where | Missing Condition;;;;;
student-6;Accept;Python, C++, Java.;4;3;Other;3;OpenCypher, SQL/PGQ;Correct;Correct;Complication | Added Collect, Added Unwind;Complication | Added With;0;1;1;Semantic Return | Missing Distinct;Semantic Return | Missing Distinct;Semantic Where, Semantic Return | Missing Condition, Wrong Property, Wrong Operator;Semantic Where | Wrong Operator (= instead of <>);Semantic Where | Missing Condition;;;;;
student-7;Accept;python, c#, java, javascripts;3;2;MongoDB, Other;1;OpenCypher;Correct;Correct;Correct;Correct;0;1;0;Complication | Added Collect in return shape;Complication | Added Collect in return shape;Semantic Pattern, Semantic Where, Semantic Return | Wrong Pattern, Wrong Property, Wrong Information;Semantic Pattern, Semantic Where | Missing Condition, Wrong Edge Direction;Semantic Where, Semantic Pattern | Missing Condition, Missing Information;;;;;
student-8;Accept;Python, Java;3;1;Redis;1;OpenCypher, SQL/PGQ;Correct;Correct;Correct;Correct;0;1;0;Complication | Added Collect in return shape;Complication | Added Collect in return shape;Semantic Pattern, Semantic Return | Additional Node, Wrong Edge Direction, Wrong Information;Semantic Pattern, Semantic Where | Missing Condition, Wrong Edge Direction;Semantic Where, Semantic Pattern | Missing Condition, Missing Information;;;;;
student-9;Accept;python, java;3;2;Other;3;SQL/PGQ, SPARQL;Correct;Correct;Correct;Correct;1;0.579;1;Semantic Pattern | Wrong Pattern wrt Schema;Semantic Pattern | Wrong Pattern wrt Schema;Semantic Pattern, Semantic Where, Semantic Return | Wrong Pattern, Wrong Property, Wrong Information;Semantic Pattern, Semantic Where | Missing Condition, Wrong Edge Direction;Semantic Pattern, Semantic Where | Additional Node, Missing Condition;;;;;
student-10;Accept;Python, Java;4;3;MongoDB;2;SQL/PGQ;Correct;Correct;Complication | Added Collect, Added Unwind;Correct;0;INVALID;INVALID;Semantic Return | Missing Distinct;Semantic Return | Missing Distinct;Semantic Pattern, Semantic Where, Semantic Return | Wrong Edge Direction, Wrong Property, Missing Distinct;Semantic Where, Semantic Return | Missing Condition, Wrong Information;Semantic Where | Missing Condition;;;;;
student-11;Accept;python, C++;1;1;Other;1;;Correct;Correct;Correct;Correct;0;0.667;0.88;Complication | Added Collect in return shape;Semantic Return | Missing Distinct;Semantic Pattern, Semantic Where | Missing Condition, Wrong Pattern;Semantic Pattern, Semantic Where, Semantic Return | Wrong Pattern, Wrong Condition ;Semantic Pattern, Semantic Where, Semantic Return | Missing Node, Missing Condition, Missing Information;;;;;
student-12;Accept;Python;4;3;Apache Cassandra, MongoDB, Other;4;SQL/PGQ;Correct;Correct;Complication | Added Collect, Added With;Complication | Added With, Added Collect;0;INVALID;INVALID;;;;;;;;;;
student-13;Accept;Python, R, Java, SQL, MySQL;3;2;MongoDB;1;SQL/PGQ;Correct;Correct;Complication | Added Collect;Complication | Added Collect;2;1;1;Semantic Pattern | Wrong Pattern wrt Schema;Semantic Pattern | Wrong Pattern wrt Schema;Semantic Pattern, Semantic Where | Missing Condition, Wrong Pattern wrt schema;Semantic Where, Semantic Return | Missing Condition ;Semantic Pattern, Semantic Where, Semantic Return | Wrong Pattern, Missing Condition, Missing Information;;;;;
student-14;Accept;python,java;3;2;Apache Cassandra, MongoDB, Other;3;SQL/PGQ, SPARQL;Correct;Correct;Correct;Correct;0;1;0.962;Semantic Pattern | Wrong Pattern wrt Schema;Semantic Pattern | Wrong Pattern wrt Schema;Semantic Pattern, Semantic Where, Semantic Return | Wrong Edge Direction, Wrong Property, Wrong Information;Semantic Pattern, Semantic Where | Missing Condition, Wrong Edge Direction;Semantic Where | Missing Condition;;;;;
student-15;Accept;java, python, c, c++, javascript, c#, go, dart, sql, kotlin, ... ;3;3;Apache Cassandra, MongoDB, Redis, Other;2;OpenCypher, GraphQL, SQL/PGQ, SPARQL;Correct;Correct;Complication | Added Collect, Added With;Complication | Added With;0;1;0.962;;;;;;;;;;
student-16;Accept;;3;2;Other;2;SQL/PGQ;Other;Other;Other;Semantic Return | Missing Distinct;0;1;0.326;Semantic Pattern, Semantic Return | Additional node , Wrong information returned (collect distinct on wrong variable);Semantic Return | Missing Distinct;Semantic Pattern, Semantic Where, Semantic Return | Wrong pattern wrt schema, Missing Condition, Wrong Property, Wrong Information;No Answer;No Answer;;;;;
