TEST ID;consent;What language can you program in? (List the different languages separated by a comma);How do you rate your knowledge of relational databases (e.g., MySQL))?(1 = never heard of it, 5 = can use it in a professional environment);How do you rate your knowledge of NoSQL databases (e.g., MongoDB, Cassandra)?(1 = never heard of it, 5 = can use it in a professional environment);Which one in particular?;How do you rate your knowledge of other graph structures beside property graphs (e.g., RDF and SPARQL)?(1 = never heard of it, 5 = can use it in a professional environment);Are you knowledgable of any of the following graph query languages?;Q1;Q2;Q3;Q4;Q5;Schema;Properties;Q6;Q7;Q8;Q9;Q10;Q11;Q12;Q13;Q14;Q15
student-0;Accept;Python,java, C ,Dart;4;4;MongoDB, InfluxDB;3;OpenCypher; Added Collect, Added Unwind, Added With; Added With, Added Collect; Added Collect, Added Unwind; Added With;0;0.974;0; Missing Distinct; Added Collect in return shape; Wrong Property, Wrong Information, Wrong Pattern;  Additional node, Wrong information; Missing Condition;;;;;
student-1;Accept;c++, java, python, prolog/datalog, js;3;1;InfluxDB, Other;1;;;; Added Collect, Added Unwind; Added Unwind;3;1;0.714; Added Collect in return shape; Added Collect in return shape;  Additional Node, Wrong Edge Direction, Missing Condition;;  Missing Condition, Missing Information;;;;;
student-2;Accept;Python;3;3;MongoDB;2;OpenCypher, SQL/PGQ;; Added With; Added Collect, Added Unwind; Added With;0;1;0; Missing Distinct; Missing Distinct; Wrong Pattern, Wrong Property, Missing Distinct;  Missing Condition, Wrong Information; Missing Condition;;;;;
student-3;Accept;Python, JavaScript;3;1;Other;1;;;;;;0;0.733;0; Added Collect in return shape; Added Collect in return shape; Wrong Property, Wrong Edge Direction, Wrong Information;; Missing Condition;;;;;
student-4;Accept;Python, java, scala, R;4;4;MongoDB, Other;3;OpenCypher;; Added With; Added Collect, Added Unwind; Added With;0;0.476;0; Missing Distinct; Added Collect in return shape; Wrong Pattern, Wrong Property, Wrong Information; Missing Condition; Missing Condition;;;;;
student-5;Accept;C,Java,Python,Javascript;4;2;InfluxDB;5;OpenCypher, GraphQL, SQL/PGQ, SPARQL;;;;;0;0.972;0; Added Collect in return shape; Added Collect in return shape; Wrong Pattern, Wrong Property, Wrong Information; Wrong Operator (> instead of >=); Missing Condition;;;;;
student-6;Accept;Python, C++, Java.;4;3;Other;3;OpenCypher, SQL/PGQ;;; Added Collect, Added Unwind; Added With;0;1;1; Missing Distinct; Missing Distinct;  Missing Condition, Wrong Property, Wrong Operator; Wrong Operator (= instead of <>); Missing Condition;;;;;
student-7;Accept;python, c#, java, javascripts;3;2;MongoDB, Other;1;OpenCypher;;;;;0;1;0; Added Collect in return shape; Added Collect in return shape; Wrong Pattern, Wrong Property, Wrong Information;  Missing Condition, Wrong Edge Direction;  Missing Condition, Missing Information;;;;;
student-8;Accept;Python, Java;3;1;Redis;1;OpenCypher, SQL/PGQ;;;;;0;1;0; Added Collect in return shape; Added Collect in return shape;  Additional Node, Wrong Edge Direction, Wrong Information;  Missing Condition, Wrong Edge Direction;  Missing Condition, Missing Information;;;;;
student-9;Accept;python, java;3;2;Other;3;SQL/PGQ, SPARQL;;;;;1;0.579;1; Wrong Pattern wrt Schema; Wrong Pattern wrt Schema; Wrong Pattern, Wrong Property, Wrong Information;  Missing Condition, Wrong Edge Direction;  Additional Node, Missing Condition;;;;;
student-10;Accept;Python, Java;4;3;MongoDB;2;SQL/PGQ;;; Added Collect, Added Unwind;;0;INVALID;INVALID; Missing Distinct; Missing Distinct; Wrong Edge Direction, Wrong Property, Missing Distinct;  Missing Condition, Wrong Information; Missing Condition;;;;;
student-11;Accept;python, C++;1;1;Other;1;;;;;;0;0.667;0.88; Added Collect in return shape; Missing Distinct;  Missing Condition, Wrong Pattern; Wrong Pattern, Wrong Condition ; Missing Node, Missing Condition, Missing Information;;;;;
student-12;Accept;Python;4;3;Apache Cassandra, MongoDB, Other;4;SQL/PGQ;;; Added Collect, Added With; Added With, Added Collect;0;INVALID;INVALID;;;;;;;;;;
student-13;Accept;Python, R, Java, SQL, MySQL;3;2;MongoDB;1;SQL/PGQ;;; Added Collect; Added Collect;2;1;1; Wrong Pattern wrt Schema; Wrong Pattern wrt Schema;  Missing Condition, Wrong Pattern wrt schema;  Missing Condition ; Wrong Pattern, Missing Condition, Missing Information;;;;;
student-14;Accept;python,java;3;2;Apache Cassandra, MongoDB, Other;3;SQL/PGQ, SPARQL;;;;;0;1;0.962; Wrong Pattern wrt Schema; Wrong Pattern wrt Schema; Wrong Edge Direction, Wrong Property, Wrong Information;  Missing Condition, Wrong Edge Direction; Missing Condition;;;;;
student-15;Accept;java, python, c, c++, javascript, c#, go, dart, sql, kotlin, ... ;3;3;Apache Cassandra, MongoDB, Redis, Other;2;OpenCypher, GraphQL, SQL/PGQ, SPARQL;;; Added Collect, Added With; Added With;0;1;0.962;;;;;;;;;;
student-16;Accept;;3;2;Other;2;SQL/PGQ;Other;Other;Other; Missing Distinct;0;1;0.326;  Additional node , Wrong information returned (collect distinct on wrong variable); Missing Distinct; Wrong pattern wrt schema, Missing Condition, Wrong Property, Wrong Information;No Answer;No Answer;;;;;
student-17;Accept;python,C++,C#, SQL;2;2;Other;2;SQL/PGQ;;; Added Collect, Added With; Added With, Added Collect;1;1;0;;;;;;;;;;
student-18;Accept;python, java, javascript;3;3;MongoDB, Other;1;SPARQL; Wrong Information;Other; Added With; Added With;0;1;0; Added Collect in return shape; Added Collect in return shape; Invalid input Count(*); PatternExpressions are not allowed to introduce new variables;  Wrong Pattern, Missing Condition;;;;;
student-19;Accept;C , C++ , C# , Java , Js , Php ;5;4;MongoDB;3;OpenCypher, GraphQL, SPARQL;Other;Other; Added Collect, Added With, Added Unwind; Added With;0;1;0.962; Added Collect in return shape; Added Collect in return shape; Wrong Pattern, Wrong Property, Wrong Information; Missing Condition; Missing Condition;;;;;
student-20;Accept;java,python,php,js;4;3;Apache Cassandra, MongoDB;4;SQL/PGQ, SPARQL; Added With; Added With; Added Collect, Added With; Added With;0;1;0; Missing Distinct; Missing Distinct; Wrong Pattern, Wrong Property, Wrong Information; Wrong Information; Missing Condition;;;;;
student-21;Accept;Python;4;3;MongoDB;3;OpenCypher, GraphQL;;; Added Collect, Added With, Added Unwind; Added With;0;1;0.326;;;;;;;;;;
student-22;Accept;R, Python, Java, SQL;2;1;Other;3;SQL/PGQ;;; Added Unwind;;0;1;0; Wrong Pattern wrt Schema; Wrong Pattern wrt Schema; Wrong pattern wrt schema, Missing Condition, Wrong Property, Wrong Information;  Wrong pattern wrt schema, Wrong Property ;  Wrong Pattern wrt schema, Missing Condition;;;;;
student-23;Accept;Java, Python, C++;5;5;Apache Cassandra, MongoDB;3;SQL/PGQ;;; Added Unwind;;0;1;0; Wrong Pattern wrt Schema; Wrong Pattern wrt Schema; Wrong pattern wrt schema, Missing Condition, Wrong Property, Wrong Information;  Wrong pattern wrt schema, Wrong Property ; Wrong Pattern, Missing Condition, Missing Information;;;;;
student-24;Accept;Python,java,solidity,javascript;4;3;MongoDB;3;SQL/PGQ, SPARQL;Other;Other; Added With; Added Unwind, Added Collect;0;0.606;0; Missing Distinct; Missing Distinct; Wrong Pattern, Wrong Property, Wrong Information;  Missing Condition, Wrong Information; Missing Condition;;;;;
student-25;Accept;PYTHON;4;4;MongoDB;3;SQL/PGQ;;; Added Collect, Added With, Added Unwind; Added With, Added Collect;0;0.19;0; Wrong Pattern wrt Schema; Missing Distinct; Wrong Pattern, Wrong Property, Wrong Information;  Missing Condition, Wrong Information; Missing Condition;;;;;
student-26;Accept;Python;3;2;Redis;3;OpenCypher;;;;;0;1;0;;;;;;;;;;
